epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.7092,1.20433,1.38327,1.23583,0.61505,0.45914,0.49875,0.35575,1.14908,1.2856,1.15905,3.95399e-05,3.95399e-05,3.95399e-05
2,71.0121,1.18637,1.3638,1.22242,0.60489,0.44238,0.48315,0.34136,1.16554,1.31981,1.17314,7.65928e-05,7.65928e-05,7.65928e-05
3,104.931,1.18901,1.38111,1.22543,0.58561,0.43577,0.46878,0.32813,1.19399,1.3688,1.19529,0.000111028,0.000111028,0.000111028
4,139.166,1.18985,1.38517,1.22327,0.56001,0.43962,0.46248,0.31996,1.19162,1.3779,1.18941,0.000107219,0.000107219,0.000107219
5,172.576,1.18527,1.35878,1.21975,0.57231,0.43792,0.46329,0.32236,1.19648,1.38164,1.19157,0.000103292,0.000103292,0.000103292
6,205.961,1.1804,1.35735,1.22181,0.57773,0.44553,0.46668,0.32417,1.19478,1.38486,1.1946,9.9365e-05,9.9365e-05,9.9365e-05
7,240.371,1.17916,1.34276,1.21622,0.56,0.43989,0.46117,0.31937,1.20472,1.3927,1.20035,9.5438e-05,9.5438e-05,9.5438e-05
8,274.421,1.17528,1.33382,1.21754,0.59244,0.43527,0.46411,0.32449,1.19573,1.39229,1.20092,9.1511e-05,9.1511e-05,9.1511e-05
9,308.257,1.17057,1.3055,1.20573,0.59114,0.43132,0.46445,0.32063,1.1993,1.3848,1.19534,8.7584e-05,8.7584e-05,8.7584e-05
10,342.068,1.16872,1.30609,1.20467,0.58639,0.43036,0.46282,0.32075,1.20049,1.37355,1.19687,8.3657e-05,8.3657e-05,8.3657e-05
11,375.607,1.16147,1.29639,1.20339,0.58781,0.42466,0.45792,0.31821,1.1964,1.38407,1.19477,7.973e-05,7.973e-05,7.973e-05
