epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,205.719,1.20938,1.45609,1.24035,0.52219,0.36678,0.37834,0.2505,1.28433,1.61356,1.26332,0.0099936,0.0033312,0.0099936,0.0033312,0.0099936,0.0033312,0.0099936,0.0033312
2,387.601,1.34363,1.79527,1.33741,0.39733,0.27806,0.2551,0.15568,1.46756,2.04715,1.41197,0.0193338,0.0064446,0.0193338,0.0064446,0.0193338,0.0064446,0.0193338,0.0064446
3,559.007,1.47422,2.13063,1.43293,0.32926,0.19593,0.16245,0.09182,1.65142,2.50006,1.56917,0.028014,0.00933801,0.028014,0.00933801,0.028014,0.00933801,0.028014,0.00933801
4,759.465,1.51439,2.25815,1.47071,0.36736,0.2496,0.21648,0.12961,1.51811,2.17019,1.46448,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,1007.17,1.46867,2.13842,1.43975,0.4151,0.27127,0.25103,0.15544,1.47612,2.03612,1.4359,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,1201.18,1.43121,2.04108,1.41319,0.42513,0.29651,0.28158,0.17716,1.41298,1.91356,1.38583,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,1440.63,1.40342,1.96185,1.39547,0.43928,0.31442,0.30563,0.19526,1.38332,1.82926,1.36254,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,1679.53,1.38297,1.91396,1.38071,0.45336,0.31884,0.3156,0.2023,1.37343,1.80803,1.35748,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,1918.06,1.36852,1.86798,1.36712,0.45437,0.34048,0.33359,0.21621,1.34951,1.73572,1.33526,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,2159.93,1.35377,1.82939,1.35775,0.48708,0.34623,0.35213,0.22863,1.32684,1.67431,1.31901,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,2402.35,1.34028,1.78844,1.34366,0.50552,0.35574,0.3628,0.2381,1.30934,1.65084,1.30314,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
