epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.1829,1.10533,1.13461,1.17614,0.64845,0.52607,0.56834,0.40446,1.08508,1.14489,1.10858,3.95399e-05,3.95399e-05,3.95399e-05
2,102.028,1.102,1.15206,1.15982,0.62488,0.51017,0.5425,0.38269,1.11476,1.21444,1.1311,7.65928e-05,7.65928e-05,7.65928e-05
3,152.196,1.10095,1.17714,1.16428,0.62025,0.49922,0.52643,0.3683,1.13094,1.2485,1.13967,0.000111028,0.000111028,0.000111028
4,200.916,1.11516,1.18526,1.16606,0.6103,0.48477,0.52138,0.36402,1.14513,1.26313,1.16004,0.000107219,0.000107219,0.000107219
5,249.716,1.1049,1.15708,1.16201,0.62219,0.47308,0.51418,0.35347,1.15143,1.27945,1.15612,0.000103292,0.000103292,0.000103292
6,299.058,1.09752,1.1444,1.15338,0.60913,0.48834,0.51323,0.35398,1.16126,1.28801,1.15322,9.9365e-05,9.9365e-05,9.9365e-05
7,348.229,1.09139,1.13308,1.15298,0.62373,0.46392,0.50592,0.3492,1.16364,1.29484,1.16292,9.5438e-05,9.5438e-05,9.5438e-05
8,397.458,1.0823,1.11294,1.14737,0.62707,0.46467,0.50221,0.34854,1.15704,1.29493,1.16222,9.1511e-05,9.1511e-05,9.1511e-05
9,446.614,1.07991,1.09702,1.14456,0.62364,0.47419,0.51473,0.35854,1.15132,1.27856,1.16126,8.7584e-05,8.7584e-05,8.7584e-05
10,495.847,1.066,1.07815,1.1399,0.60002,0.4897,0.51675,0.35604,1.16569,1.27221,1.16274,8.3657e-05,8.3657e-05,8.3657e-05
11,545.125,1.06887,1.07178,1.1412,0.592,0.48722,0.50934,0.35078,1.1654,1.29326,1.16691,7.973e-05,7.973e-05,7.973e-05
